14.5184 249
0.150175 145
0.114161 20
0.142208 21
12.1539 247
11.8361 248
0.105999 21
0.113957 24
11.1696 240
0.152122 20
12.3501 246
0.130202 22
0.148033 151
0.0921176 15
0.151996 26
13.1434 251
0.143961 31
0.11213 26
11.8489 245
15.5232 244
0 10
0.12166 10
0.13168 18
0.111641 17
0.0956705 16
0.113676 9
0.105683 8
176.173 290
0.133627 23
0.137675 18
0 18
0.0916608 108
84.4419 233
0.101681 16
0 25
0.151675 16
0.133655 18
0 10
17.1229 201
103.068 232
0.149667 15
0.12367 18
94.5101 245
0 14
0.105674 19
0.101667 9
0.109666 25
0.143666 20
0.113651 16
79.5843 234
0.127641 14
0.109674 22
0.091682 10
0.105678 10
83.7945 95
0.133677 27
6.17082 19
87.4955 242
0.115675 17
0.123642 18
0.13568 118
0.139675 24
0.109662 28
0.121673 18
0 11
0 17
0.101675 17
0.103675 21
0.141676 20
0.147682 28
92.9223 243
89.9809 241
0.095683 10
0.147672 21
0.14568 11
0.105673 17
0 24
0.125674 10
0.113651 12
0.0976744 27
295.557 0
0.105661 0
0.133637 0
0.419183 0
142.179 0
11.5487 0
0.127678 0
0 0
0.0964804 0
0.0936735 0
0.0571242 0
0.0561951 0
0.0580343 0
0.0462105 0
0.0416705 0
0.0661938 0
0.0598515 0
0.0634782 0
0 0
8.61219 0
